file_name	library_size
SM-GE936_S052_E1-50	2521434.0
SM-GE65C_S158_E1-50	2816674.0
SM-GE4QF_S007_E1-50	2583414.0
SM-GE8YF_S088_E1-50	2852220.0
SM-GE8X7_S135_E1-50	2767108.0
SM-GE5OW_S145_E1-50	2943198.0
SM-GE5OM_S058_E1-50	2157568.0
SM-GE4QZ_S139_E1-50	1890968.0
SM-J39ZH_S527_E1-50	1349886.0
SM-GE94H_S155_E1-50	2977820.0
SM-GE932_S020_E1-50	3522774.0
SM-GE66Q_S011_E1-50	2831734.0
SM-GE5TI_S099_E1-50	2462708.0
SM-GE8XQ_S024_E1-50	2383140.0
SM-GE67R_S027_E1-50	2818238.0
SM-GE8ZP_S163_E1-50	3028544.0
SM-GE5PA_S075_E1-50	2473982.0
SM-GE8XZ_S157_E1-50	3025596.0
SM-GE8YI_S032_E1-50	3050596.0
SM-GE5PA_S095_E1-50	2483506.0
SM-GE953_S052_E1-50	3171732.0
SM-GE93B_S096_E1-50	2319418.0
SM-GE95N_S121_E1-50	3339760.0
SM-GE65D_S181_E1-50	2677626.0
SM-GE8XQ_S015_E1-50	2014768.0
SM-GE5OM_S062_E1-50	2017712.0
SM-GE5OS_S187_E1-50	2151512.0
SM-GE8YF_S037_E1-50	2195038.0
SM-GE94J_S073_E1-50	2047342.0
SM-GE94R_S179_E1-50	2632354.0
SM-GE5UQ_S144_E1-50	2104276.0
SM-GE672_S058_E1-50	2705538.0
SM-GE8XQ_S041_E1-50	1840716.0
SM-GE5V2_S020_E1-50	2541964.0
SM-GE4Q8_S043_E1-50	1731156.0
SM-GE8YZ_S154_E1-50	2548358.0
SM-GE4XG_S001_E1-50	3068082.0
SM-GE5PG_S003_E1-50	3001512.0
SM-GE94B_S179_E1-50	3035688.0
SM-GE4Q8_S088_E1-50	2142292.0
SM-GE8ZC_S098_E1-50	3955836.0
SM-J39RG_S207_E1-50	1522724.0
SM-GE95N_S156_E1-50	2630498.0
SM-GE4QQ_S175_E1-50	3506776.0
SM-GE8XQ_S107_E1-50	4230608.0
SM-GE5VE_S076_E1-50	2138692.0
SM-J39TJ_S276_E1-50	1565082.0
SM-GE4QF_S026_E1-50	2600084.0
SM-GE672_S185_E1-50	2839186.0
SM-GE65H_S016_E1-50	2499292.0
SM-GE8XW_S092_E1-50	2930534.0
SM-J39VT_S362_E1-50	532380.0
SM-GE93S_S121_E1-50	2138704.0
SM-GE4VR_S102_E1-50	2198116.0
SM-GE5VE_S029_E1-50	2552926.0
SM-GE5PG_S086_E1-50	3006490.0
SM-GE91V_S135_E1-50	3016456.0
SM-GE92Y_S017_E1-50	3625554.0
SM-GE8WR_S075_E1-50	3634490.0
SM-GE4RC_S044_E1-50	2606114.0
SM-GE8WI_S136_E1-50	2717062.0
SM-GE63O_S037_E1-50	2571406.0
SM-GE4W8_S090_E1-50	1964274.0
SM-GE8YZ_S153_E1-50	2462148.0
SM-GE4Y5_S101_E1-50	2779076.0
SM-GE8XQ_S108_E1-50	3895356.0
SM-GE4WT_S042_E1-50	2341860.0
SM-GE8WX_S092_E1-50	2541670.0
SM-GE936_S076_E1-50	1843114.0
SM-GE4W2_S146_E1-50	1313612.0
SM-GE5UQ_S169_E1-50	2273638.0
SM-GE92K_S137_E1-50	2933938.0
SM-GE95A_S010_E1-50	790616.0
SM-GE5VE_S050_E1-50	2445476.0
SM-GE5UX_S181_E1-50	3232280.0
SM-GE67K_S109_E1-50	2631882.0
SM-GE5VE_S052_E1-50	2887652.0
SM-GE5W2_S054_E1-50	2720192.0
SM-GE8Y4_S187_E1-50	2520762.0
SM-GE953_S083_E1-50	3188212.0
SM-GE4Q7_S186_E1-50	0.0
SM-GE4XY_S025_E1-50	2453652.0
SM-GE93B_S095_E1-50	2307278.0
SM-GE92K_S167_E1-50	3216260.0
SM-GE8XW_S051_E1-50	2406340.0
SM-GE4QF_S067_E1-50	2310162.0
SM-GE93J_S013_E1-50	2724120.0
SM-GE67S_S111_E1-50	3334466.0
SM-GE8X7_S187_E1-50	1638338.0
SM-GE64T_S128_E1-50	2892136.0
SM-GE5UU_S014_E1-50	3211332.0
SM-GE8X4_S122_E1-50	2586962.0
SM-GE5P3_S087_E1-50	2972036.0
SM-GE5P3_S081_E1-50	2510342.0
SM-GE5OW_S184_E1-50	2518958.0
SM-GE5TI_S129_E1-50	2576410.0
SM-J39ZH_S506_E1-50	1103524.0
SM-GE5W2_S001_E1-50	2014426.0
SM-GE94R_S159_E1-50	2837512.0
SM-GE4Q8_S046_E1-50	2114070.0
SM-GE4WT_S157_E1-50	2963232.0
SM-GE94R_S131_E1-50	2888752.0
SM-GE5TS_S192_E1-50	2365510.0
SM-GE5VJ_S055_E1-50	3582514.0
SM-GE8WR_S021_E1-50	3534092.0
SM-GE4RI_S182_E1-50	0.0
SM-GE95N_S134_E1-50	3212818.0
SM-GE63H_S098_E1-50	2683608.0
SM-GE8XF_S072_E1-50	4134546.0
SM-GE5W2_S074_E1-50	2821790.0
SM-GE8X7_S160_E1-50	3220996.0
SM-GE5V2_S090_E1-50	2639734.0
SM-GE5QL_S107_E1-50	2358516.0
SM-GE93P_S048_E1-50	2499304.0
SM-GE5VJ_S026_E1-50	3178442.0
SM-GE93P_S022_E1-50	2784260.0
SM-GE63H_S142_E1-50	3242474.0
SM-GE5TI_S106_E1-50	2524270.0
SM-GE8XQ_S148_E1-50	3920762.0
SM-GE5TS_S180_E1-50	2632526.0
SM-GE5VR_S189_E1-50	3606562.0
SM-GE5V9_S141_E1-50	3281372.0
SM-GE4W8_S091_E1-50	2425450.0
SM-GE63H_S176_E1-50	3297256.0
SM-GE4QN_S157_E1-50	2228406.0
SM-GE66H_S019_E1-50	2181914.0
SM-GE94H_S167_E1-50	2613964.0
SM-GE95M_S017_E1-50	2780980.0
SM-GE5QL_S154_E1-50	2401842.0
SM-GE5TO_S187_E1-50	2147380.0
SM-GE8XQ_S122_E1-50	2427566.0
SM-GE5TS_S150_E1-50	2791384.0
SM-J39WG_S210_E1-50	576844.0
SM-GE93B_S030_E1-50	2548436.0
SM-GE8YF_S040_E1-50	2979224.0
SM-GE95A_S059_E1-50	674954.0
SM-GE918_S057_E1-50	3075078.0
SM-GE8XQ_S151_E1-50	3895814.0
SM-GE4WV_S155_E1-50	1500836.0
SM-GE5UX_S115_E1-50	3215900.0
SM-GE8XZ_S116_E1-50	3171682.0
SM-GE936_S069_E1-50	2673116.0
SM-GE5QE_S039_E1-50	2202712.0
SM-GE67S_S116_E1-50	2832632.0
SM-GBMG3_S065_E1-50	2436238.0
SM-GE8WR_S001_E1-50	2751906.0
SM-GE4WT_S044_E1-50	2753980.0
SM-GE64V_S118_E1-50	2687384.0
SM-GE95M_S067_E1-50	2554296.0
SM-GE5VR_S166_E1-50	3719294.0
SM-GE4Q8_S059_E1-50	580720.0
SM-GE5OG_S016_E1-50	2726208.0
SM-GE5VE_S033_E1-50	2796814.0
SM-GE5VE_S090_E1-50	2548810.0
SM-GE64V_S110_E1-50	2949244.0
SM-GE5TM_S110_E1-50	2698212.0
SM-GE95N_S140_E1-50	2521524.0
SM-GE643_S152_E1-50	2444626.0
SM-GE681_S075_E1-50	2534632.0
SM-GE681_S039_E1-50	2493244.0
SM-GE5QL_S169_E1-50	1597170.0
SM-GE5P3_S041_E1-50	3376748.0
SM-GE8XW_S022_E1-50	1540784.0
SM-GE65R_S013_E1-50	2838364.0
SM-GE4WT_S045_E1-50	2392044.0
